Customer ID,Number of Items,Kiosk Type,Kiosk Number,Time In Line,Time to Checkout,Employee Involved?
124,3.0,self,2,209.989302607,59.2359118168,False
134,26.0,cashier,1,0.0,52.6790802502,False
130,5.0,self,1,0.0,145.869605794,False
135,25.0,cashier,2,0.0,83.1592649619,False
138,22.0,cashier,3,0.0,41.9036193853,False
137,29.0,cashier,1,0.0,58.7574356637,False
136,24.0,cashier,0,0.0,72.6004645759,False
142,6.0,cashier,2,0.0,19.9582235908,False
140,22.0,cashier,4,0.0,69.8813029684,False
144,25.0,cashier,1,0.0,50.6529617791,False
143,25.0,cashier,0,0.0,75.6254839333,False
141,2.0,self,1,0.0,136.825376111,False
139,2.0,self,2,0.0,172.373515928,True
146,32.0,cashier,1,0.0,64.8357910772,False
147,27.0,cashier,0,0.0,81.6755226479,False
148,30.0,cashier,2,0.0,99.7911179542,False
145,4.0,self,2,99.2861454389,111.340063909,False
152,5.0,cashier,0,0.0,15.1250967867,False
151,24.0,cashier,3,0.0,45.7130393294,False
150,27.0,cashier,1,0.0,54.7051987214,False
149,3.0,self,1,0.0,115.874474756,True
154,21.0,cashier,1,0.0,42.5484878944,False
153,29.0,cashier,0,0.0,87.7255613626,False
155,1.0,self,1,0.0,49.7935891162,True
114,17.0,self,0,605.174657423,588.991368387,False
157,14.0,cashier,2,0.0,46.5691883786,False
159,6.0,cashier,0,0.0,18.150116144,False
156,3.0,self,2,0.0,129.095950888,True
158,1,self,1,0.0,49.2424344755,True
125,4.0,self,0,741.06800587,96.2722299113,False
162,6.0,cashier,1,0.0,12.156710827,False
165,1,self,2,0.0,19.8146865259,False
164,21.0,cashier,3,0.0,39.9989094132,False
160,28.0,cashier,0,0.0,84.7005420052,False
126,3.0,self,0,834.122054077,74.157008773,False
163,23.0,cashier,2,0.0,76.5065237649,False
168,26.0,cashier,0,0.0,78.6505032906,False
173,6.0,cashier,3,0.0,11.4282598323,False
171,31.0,cashier,1,0.0,62.8096726061,False
161,2.0,self,1,0.0,194.32934468,True
172,26.0,cashier,2,0.0,86.4856355603,False
174,21.0,cashier,0,0.0,63.5254065039,False
167,6.0,self,0,11.4209544782,166.979243828,True
176,20.0,cashier,0,0.0,60.5003871466,False
175,3.0,self,1,0.0,93.8335531761,True
169,4.0,self,0,150.333159802,116.967136536,True
177,25.0,cashier,1,0.0,50.6529617791,False
166,3.0,self,2,8.20387596126,316.417562946,False
181,6.0,cashier,0,0.0,18.150116144,False
179,28.0,cashier,3,0.0,53.3318792176,False
178,26.0,cashier,2,0.0,86.4856355603,False
180,27.0,cashier,4,0.0,85.7634172794,False
185,7.0,cashier,1,0.0,14.1828292981,False
184,17.0,cashier,0,0.0,51.4253290746,False
187,19.0,cashier,3,0.0,36.1894894691,False
189,26.0,cashier,1,0.0,52.6790802502,False
186,27.0,cashier,2,0.0,89.8120061588,False
182,5.0,self,1,0.0,220.71886553,False
188,4.0,self,1,118.350525197,94.1884810251,False
